Model,Type,Language_Support,Parameters,Dataset,Exact_Match,F1_Score,Avg_Confidence,Avg_Inference_Time,Total_Examples
BERT-Large,BERT,English,340M,Overall,0.5,0.6212121212121212,0.4247163074711959,1.1025326649347942,6
BERT-Large,BERT,English,340M,English,1.0,1.0,0.6856216390927633,1.6962560017903645,3
BERT-Large,BERT,English,340M,Arabic,0.0,0.2424242424242424,0.16381097584962845,0.5088093280792236,3
DistilBERT,DistilBERT,English,66M,Overall,0.0,0.3762210012210012,0.21654617241195714,0.3259321451187134,6
DistilBERT,DistilBERT,English,66M,English,0.0,0.6691086691086691,0.4148334562778473,0.5717836221059164,3
DistilBERT,DistilBERT,English,66M,Arabic,0.0,0.08333333333333333,0.01825888854606698,0.08008066813151042,3
RoBERTa,RoBERTa,English,125M,Overall,0.3333333333333333,0.7043956043956044,0.22582793251785915,0.4859152634938558,6
RoBERTa,RoBERTa,English,125M,English,0.3333333333333333,0.7802197802197802,0.4506111902495225,0.6817251841227213,3
RoBERTa,RoBERTa,English,125M,Arabic,0.3333333333333333,0.6285714285714286,0.00104467478619578,0.29010534286499023,3
ALBERT,ALBERT,English,12M,Overall,0.0,0.006666666666666667,0.0,0.6078799565633138,6
ALBERT,ALBERT,English,12M,English,0.0,0.013333333333333334,0.0,0.4606023629506429,3
ALBERT,ALBERT,English,12M,Arabic,0.0,0.0,0.0,0.7551575501759847,3
mBERT,BERT,Multilingual,179M,Overall,0.0,0.09523809523809525,0.0007540254882769659,0.5671344995498657,6
mBERT,BERT,Multilingual,179M,English,0.0,0.1904761904761905,0.00070762926285776,1.0281811555226643,3
mBERT,BERT,Multilingual,179M,Arabic,0.0,0.0,0.0008004217136961719,0.10608784357706706,3
XLM-RoBERTa,XLM-RoBERTa,Multilingual,278M,Overall,0.0,0.006666666666666667,0.0,0.603738029797872,6
XLM-RoBERTa,XLM-RoBERTa,Multilingual,278M,English,0.0,0.013333333333333334,0.0,0.5677620569864908,3
XLM-RoBERTa,XLM-RoBERTa,Multilingual,278M,Arabic,0.0,0.0,0.0,0.6397140026092529,3
AraBERT,AraBERT,Arabic,136M,Overall,0.0,0.006802721088435375,0.0,0.4459940195083618,6
AraBERT,AraBERT,Arabic,136M,English,0.0,0.01360544217687075,0.0,0.44574840863545734,3
AraBERT,AraBERT,Arabic,136M,Arabic,0.0,0.0,0.0,0.4462396303812663,3
